lap,direction,start-xx,end xx,start-time,end-time
-1,-1,233.0,290.0,1548779007.0,1548779137.0
0,0,290.0,136.0,1548779137.0,1548779168.0
0,1,136.0,313.0,1548779168.0,1548779219.0
1,0,313.0,136.0,1548779219.0,1548779258.0
1,1,136.0,314.0,1548779258.0,1548779305.0
2,0,314.0,137.0,1548779305.0,1548779347.0
2,1,137.0,312.0,1548779347.0,1548779394.0
3,0,312.0,137.0,1548779394.0,1548779433.5
3,1,137.0,313.0,1548779433.5,1548779484.5
4,0,313.0,137.0,1548779484.5,1548779524.0
4,1,137.0,312.0,1548779524.0,1548779571.5
5,0,312.0,136.0,1548779571.5,1548779612.5
5,1,136.0,312.0,1548779612.5,1548779660.5
6,0,312.0,135.0,1548779660.5,1548779700.5
6,1,135.0,313.0,1548779700.5,1548779749.0
7,0,313.0,138.0,1548779749.0,1548779789.5
7,1,138.0,313.0,1548779789.5,1548779839.0
8,0,313.0,136.0,1548779839.0,1548779881.0
8,1,136.0,312.0,1548779881.0,1548779933.0
9,0,312.0,141.0,1548779933.0,1548779984.0
9,1,141.0,313.0,1548779984.0,1548780021.0
10,0,313.0,139.0,1548780021.0,1548780063.5
10,1,139.0,316.0,1548780063.5,1548780116.5
11,0,316.0,137.0,1548780116.5,1548780160.0
11,1,137.0,303.0,1548780160.0,1548780210.0
-1,-1,303.0,234.0,1548780210.0,1548780248.5
-1,-1,234.0,234.0,1548780248.5,1548780550.0
