,timestamp,server,stratum,delta,poll-freq,id,mac-addr
119,1548782362.6208231,radio,1,12,16,b1,
120,1548782367.6344051,radio,1,10,16,b1,
121,1548782372.642885,radio,1,10,16,b1,
122,1548782377.655304,radio,1,10,16,b1,
123,1548782382.667521,radio,1,15,16,b1,
124,1548782186.136198,radio,1,10,16,b1,
125,1548782191.148452,radio,1,11,16,b1,
126,1548782196.160263,radio,1,11,16,b1,
127,1548782201.1709769,radio,1,11,16,b1,
128,1548782206.1824481,radio,1,6,16,b1,
129,1548782211.1956868,radio,1,6,16,b1,
130,1548782216.2081661,radio,1,6,16,b1,
131,1548782221.221125,radio,1,4,16,b1,
132,1548782226.22994,radio,1,4,16,b1,
133,1548782231.24145,radio,1,4,16,b1,
134,1548782236.250632,radio,1,4,16,b1,
135,1548782241.26267,radio,1,7,16,b1,
136,1548782246.275283,radio,1,7,16,b1,
137,1548782251.2868981,radio,1,7,16,b1,
138,1548782256.2974188,radio,1,5,16,b1,
139,1548782261.308715,radio,1,5,16,b1,
140,1548782266.318273,radio,1,5,16,b1,
141,1548782271.330084,radio,1,20,16,b1,
142,1548782276.339717,radio,1,20,16,b1,
143,1548782281.349854,radio,1,20,16,b1,
144,1548782091.921452,radio,1,8,16,b1,
145,1548782096.931031,radio,1,6,16,b1,
146,1548782101.9446561,radio,1,6,16,b1,
147,1548782106.9552789,radio,1,6,16,b1,
148,1548782111.965514,radio,1,9,16,b1,
149,1548782116.974057,radio,1,9,16,b1,
150,1548782121.982224,radio,1,9,16,b1,
151,1548782126.994774,radio,1,10,16,b1,
152,1548782132.0016642,radio,1,11,16,b1,
153,1548782137.014412,radio,1,11,16,b1,
154,1548782142.021147,radio,1,3,16,b1,
155,1548782147.0294778,radio,1,3,16,b1,
156,1548782152.0395,radio,1,3,16,b1,
157,1548782157.050246,radio,1,7,16,b1,
158,1548782162.057153,radio,1,7,16,b1,
159,1548782167.068597,radio,1,7,16,b1,
160,1548782037.820523,radio,1,5,16,b1,
161,1548782042.832649,radio,1,5,16,b1,
162,1548782047.841456,radio,1,10,16,b1,
163,1548782052.85367,radio,1,10,16,b1,
164,1548782057.8624382,radio,1,10,16,b1,
165,1548782062.8751109,radio,1,8,16,b1,
166,1548782067.887448,radio,1,8,16,b1,
167,1548782072.898928,radio,1,8,16,b1,
168,1548782077.910005,radio,1,8,16,b1,
169,1548782082.91927,radio,1,8,16,b1,
170,1548782087.931788,radio,1,8,16,b1,
171,1548781975.821209,radio,1,10,16,b1,
172,1548781980.8327901,radio,1,13,16,b1,
173,1548781985.8435,radio,1,13,16,b1,
174,1548781990.855299,radio,1,13,16,b1,
175,1548781995.867812,radio,1,13,16,b1,
176,1548782000.8788788,radio,1,17,16,b1,
177,1548782005.889816,radio,1,17,16,b1,
178,1548782010.901937,radio,1,17,16,b1,
179,1548782015.90873,radio,1,12,16,b1,
180,1548782020.9189029,radio,1,12,16,b1,
181,1548782025.9325411,radio,1,12,16,b1,
182,1548782030.943715,radio,1,5,16,b1,
183,1548781900.416191,radio,1,14,16,b1,
184,1548781905.4269311,radio,1,14,16,b1,
185,1548781910.4401991,radio,1,14,16,b1,
186,1548781915.452733,radio,1,14,16,b1,
187,1548781920.462076,radio,1,8,16,b1,
188,1548781925.469859,radio,1,8,16,b1,
189,1548781930.481646,radio,1,9,16,b1,
190,1548781935.491092,radio,1,8,16,b1,
191,1548781940.5033631,radio,1,8,16,b1,
192,1548781945.514916,radio,1,8,16,b1,
193,1548781950.527715,radio,1,6,16,b1,
194,1548781955.53934,radio,1,6,16,b1,
195,1548781960.5530882,radio,1,6,16,b1,
196,1548781877.012833,radio,1,22,16,b1,
197,1548781882.02074,radio,1,22,16,b1,
198,1548781887.032984,radio,1,11,16,b1,
199,1548781892.0441382,radio,1,11,16,b1,
200,1548781897.056408,radio,1,11,16,b1,
201,1548781838.96755,radio,1,7,16,b1,
202,1548781843.978898,radio,1,7,16,b1,
203,1548781848.99157,radio,1,8,16,b1,
204,1548781854.003199,radio,1,4,16,b1,
205,1548781859.015395,radio,1,4,16,b1,
206,1548781864.026701,radio,1,4,16,b1,
207,1548781869.039874,radio,1,22,16,b1,
208,1548781874.0494359,radio,1,22,16,b1,
209,1548781800.717881,radio,1,13,16,b1,
210,1548781805.725461,radio,1,16,16,b1,
211,1548781810.736351,radio,1,16,16,b1,
212,1548781815.746956,radio,1,16,16,b1,
213,1548781820.758576,radio,1,6,16,b1,
214,1548781825.770819,radio,1,6,16,b1,
215,1548781830.7824109,radio,1,6,16,b1,
216,1548781835.791408,radio,1,6,16,b1,
217,1548781275.412542,radio,1,7,16,b1,
218,1548781280.424741,radio,1,3,16,b1,
219,1548781285.436878,radio,1,3,16,b1,
220,1548781290.445965,radio,1,3,16,b1,
221,1548781295.457873,radio,1,8,16,b1,
222,1548781300.466953,radio,1,8,16,b1,
223,1548781305.479273,radio,1,8,16,b1,
224,1548781310.491253,radio,1,5,16,b1,
225,1548781315.5033538,radio,1,5,16,b1,
226,1548781320.515865,radio,1,5,16,b1,
227,1548781325.5290349,radio,1,17,16,b1,
228,1548781330.540723,radio,1,17,16,b1,
229,1548781335.55213,radio,1,17,16,b1,
230,1548781340.562528,radio,1,12,16,b1,
231,1548781345.573646,radio,1,12,16,b1,
232,1548781350.584817,radio,1,13,16,b1,
233,1548781355.596846,radio,1,13,16,b1,
234,1548781360.609206,radio,1,9,16,b1,
235,1548781365.621703,radio,1,9,16,b1,
236,1548781370.633738,radio,1,9,16,b1,
237,1548781375.644877,radio,1,6,16,b1,
238,1548781380.65901,radio,1,6,16,b1,
239,1548781385.671281,radio,1,6,16,b1,
240,1548781390.681958,radio,1,7,16,b1,
241,1548781395.6915698,radio,1,7,16,b1,
242,1548781400.703417,radio,1,7,16,b1,
243,1548781405.71508,radio,1,10,16,b1,
244,1548781410.72741,radio,1,11,16,b1,
245,1548781415.739295,radio,1,11,16,b1,
246,1548781420.75047,radio,1,12,16,b1,
247,1548781425.7601,radio,1,12,16,b1,
248,1548781430.770541,radio,1,13,16,b1,
249,1548781435.782233,radio,1,13,16,b1,
250,1548781440.790304,radio,1,6,16,b1,
251,1548781445.80317,radio,1,7,16,b1,
252,1548781450.815788,radio,1,7,16,b1,
253,1548781455.827259,radio,1,6,16,b1,
254,1548781460.8383381,radio,1,6,16,b1,
