,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
39,m1,26700000.0,6360000.0,10.10.15.248,48809,1548782264.0,1548782262.0,7.204,246.0,1060.0,udp,10.10.12.1,5204
40,m1,50000000.0,11900000.0,10.10.15.248,48809,1548782266.0,1548782264.0,1.666,319.0,1845.0,udp,10.10.12.1,5204
41,m1,47600000.0,11400000.0,10.10.15.248,48809,1548782268.0,1548782266.0,1.619,2.0,1456.0,udp,10.10.12.1,5204
42,m1,24700000.0,5890000.0,10.10.15.248,48809,1548782270.0,1548782268.0,5.119,482.0,1236.0,udp,10.10.12.1,5204
43,m1,3540000.0,864000.0,10.10.15.248,48809,1548782272.0,1548782270.0,38.081,334.0,442.0,udp,10.10.12.1,5204
44,m1,131000.0,32000.0,10.10.15.248,48809,1548782274.0,1548782272.0,87.892,8.0,12.0,udp,10.10.12.1,5204
45,m1,0.0,0.0,10.10.15.248,48809,1548782276.0,1548782274.0,87.892,0.0,0.0,udp,10.10.12.1,5204
46,m1,3640000.0,888000.0,10.10.15.248,48809,1548782278.0,1548782276.0,5.274,4527.0,4638.0,udp,10.10.12.1,5204
47,m1,0.0,0.0,10.10.15.248,48809,1548782280.0,1548782278.0,5.274,0.0,0.0,udp,10.10.12.1,5204
48,m1,0.0,0.0,10.10.15.248,48809,1548782282.0,1548782280.0,5.274,0.0,0.0,udp,10.10.12.1,5204
49,m1,65600.0,16000.0,10.10.15.248,48809,1548782284.0,1548782282.0,34.579,3840.0,3842.0,udp,10.10.12.1,5204
50,m1,65600.0,16000.0,10.10.15.248,48809,1548782284.0,1548782282.0,34.579,3840.0,3842.0,udp,10.10.12.1,5204
51,m1,9340000.0,2230000.0,10.10.15.248,46612,1548782290.0,1548782288.0,4.525,811.0,1096.0,udp,10.10.12.1,5204
52,m1,9730000.0,2320000.0,10.10.15.248,46612,1548782292.0,1548782290.0,6.773,1366.0,1663.0,udp,10.10.12.1,5204
53,m1,14100000.0,3370000.0,10.10.15.248,46612,1548782294.0,1548782292.0,2.606,1131.0,1562.0,udp,10.10.12.1,5204
