gpstime,lat,lon,speed,alt,ap1Dist,ap1DeltaX,ap1DeltaY,ap2Dist,ap2DeltaX,ap2DeltaY,ap3Dist,ap3DeltaX,ap3DeltaY,ap4Dist,ap4DeltaX,ap4DeltaY
1548779007,41.178450283000004,-8.595103317000001,0.0,123.8,22.703271209817114,21.984534547378736,-5.667385998411625,22.703271209817114,21.984534547378736,-5.667385998411625,76.6325252929763,76.0497360167229,-9.433532616082372,76.6325252929763,76.0497360167229,-9.433532616082372
1548779008,41.178450299999994,-8.595103332999999,0.0,123.8,22.701619385109577,21.983195465662167,-5.665963230726365,22.701619385109577,21.983195465662167,-5.665963230726365,76.63102125928178,76.04839692097379,-9.432109848397115,76.63102125928178,76.04839692097379,-9.432109848397115
1548779010,41.178450333,-8.595103383,0.0,123.8,22.696877944491177,21.979010841423786,-5.6632013855448085,22.696877944491177,21.979010841423786,-5.6632013855448085,76.62652854110509,76.04421226949572,-9.429348003215562,76.62652854110509,76.04421226949572,-9.429348003215562
1548779010,41.178450333,-8.595103383,0.0,123.8,22.696877944491177,21.979010841423786,-5.6632013855448085,22.696877944491177,21.979010841423786,-5.6632013855448085,76.62652854110509,76.04421226949572,-9.429348003215562,76.62652854110509,76.04421226949572,-9.429348003215562
1548779011,41.17845035,-8.5951034,0.0,123.8,22.695145196339773,21.977588067291823,-5.661778617265965,22.695145196339773,21.977588067291823,-5.661778617265965,76.62494150743343,76.04278948133118,-9.42792523493672,76.62494150743343,76.04278948133118,-9.42792523493672
1548779012,41.178450366999996,-8.59510345,0.0,123.8,22.6907379535405,21.97340344842718,-5.660355848987492,22.6907379535405,21.97340344842718,-5.660355848987492,76.62061363187729,76.03860484843399,-9.426502466658249,76.62061363187729,76.03860484843399,-9.426502466658249
1548779013,41.178450366999996,-8.595103482999999,0.0,123.8,22.688063433856712,21.97064160384242,-5.660355848987492,22.688063433856712,21.97064160384242,-5.660355848987492,76.6178727716804,76.0358430038493,-9.426502466658249,76.6178727716804,76.0358430038493,-9.426502466658249
1548779015,41.17845035,-8.595103533,0.0,123.8,22.684366239914066,21.966456996383414,-5.661778617265965,22.684366239914066,21.966456996383414,-5.661778617265965,76.61389503520975,76.0316584104229,-9.42792523493672,76.61389503520975,76.0316584104229,-9.42792523493672
1548779015,41.17845035,-8.595103533,0.0,123.8,22.684366239914066,21.966456996383414,-5.661778617265965,22.684366239914066,21.966456996383414,-5.661778617265965,76.61389503520975,76.0316584104229,-9.42792523493672,76.61389503520975,76.0316584104229,-9.42792523493672
1548779016,41.178450333,-8.595103533,0.0,123.7,22.68472139247248,21.966457002084795,-5.6632013855448085,22.68472139247248,21.966457002084795,-5.6632013855448085,76.61407014052138,76.03165843015688,-9.429348003215562,76.61407014052138,76.03165843015688,-9.429348003215562
1548779017,41.178450299999994,-8.595103533,0.0,123.7,22.6854110453374,21.966457013152187,-5.665963230726365,22.6854110453374,21.966457013152187,-5.665963230726365,76.6144101252223,76.03165846846402,-9.432109848397115,76.6144101252223,76.03165846846402,-9.432109848397115
1548779018,41.178450266999995,-8.595103533,0.0,123.7,22.686101013320584,21.966457024219572,-5.668725075314645,22.686101013320584,21.966457024219572,-5.668725075314645,76.61475020790176,76.03165850677114,-9.434871692985391,76.61475020790176,76.03165850677114,-9.434871692985391
1548779020,41.178450217,-8.595103533,0.0,123.8,22.68714701997025,21.966457040988335,-5.672909688185679,22.68714701997025,21.966457040988335,-5.672909688185679,76.61526567149765,76.03165856481222,-9.439056305856417,76.61526567149765,76.03165856481222,-9.439056305856417
1548779020,41.178450217,-8.595103533,0.0,123.8,22.68714701997025,21.966457040988335,-5.672909688185679,22.68714701997025,21.966457040988335,-5.672909688185679,76.61526567149765,76.03165856481222,-9.439056305856417,76.61526567149765,76.03165856481222,-9.439056305856417
1548779021,41.1784502,-8.595103533,0.0,123.8,22.68750282704539,21.966457046689715,-5.67433245646741,22.68750282704539,21.966457046689715,-5.67433245646741,76.61544098038388,76.03165858454618,-9.440479074138148,76.61544098038388,76.03165858454618,-9.440479074138148
1548779023,41.178450167,-8.595103533,0.0,123.8,22.68819375020654,21.9664570577571,-5.677094301059904,22.68819375020654,21.9664570577571,-5.677094301059904,76.61578136018181,76.03165862285329,-9.44324091873064,76.61578136018181,76.03165862285329,-9.44324091873064
1548779023,41.178450167,-8.595103533,0.0,123.8,22.68819375020654,21.9664570577571,-5.677094301059904,22.68819375020654,21.9664570577571,-5.677094301059904,76.61578136018181,76.03165862285329,-9.44324091873064,76.61578136018181,76.03165862285329,-9.44324091873064
1548779025,41.178450133000005,-8.5951035,0.0,123.8,22.691579851054982,21.96921891375448,-5.679939837625911,22.691579851054982,21.96921891375448,-5.679939837625911,76.61887292866422,76.03442050691582,-9.44608645529664,76.61887292866422,76.03442050691582,-9.44608645529664
1548779026,41.17845015,-8.595103482999999,0.0,123.8,22.692601255642867,21.97064167663273,-5.678517069342725,22.692601255642867,21.97064167663273,-5.678517069342725,76.62010944013726,76.03584325576148,-9.444663687013456,76.62010944013726,76.03584325576148,-9.444663687013456
1548779027,41.17845015,-8.595103482999999,0.0,123.8,22.692601255642867,21.97064167663273,-5.678517069342725,22.692601255642867,21.97064167663273,-5.678517069342725,76.62010944013726,76.03584325576148,-9.444663687013456,76.62010944013726,76.03584325576148,-9.444663687013456
1548779027,41.17845015,-8.595103482999999,0.0,123.8,22.692601255642867,21.97064167663273,-5.678517069342725,22.692601255642867,21.97064167663273,-5.678517069342725,76.62010944013726,76.03584325576148,-9.444663687013456,76.62010944013726,76.03584325576148,-9.444663687013456
1548779028,41.178450167,-8.5951035,0.0,123.8,22.69086774520403,21.96921890235029,-5.677094301059904,22.69086774520403,21.96921890235029,-5.677094301059904,76.61852214436153,76.03442046744645,-9.44324091873064,76.61852214436153,76.03442046744645,-9.44324091873064
1548779029,41.1784502,-8.595103533,0.0,123.8,22.68750282704539,21.966457046689715,-5.67433245646741,22.68750282704539,21.966457046689715,-5.67433245646741,76.61544098038388,76.03165858454618,-9.440479074138148,76.61544098038388,76.03165858454618,-9.440479074138148
1548779031,41.178450233,-8.595103533,0.0,123.8,22.68681221906377,21.966457035622334,-5.671570611876306,22.68681221906377,21.966457035622334,-5.671570611876306,76.61510069863373,76.03165854623907,-9.437717229547047,76.61510069863373,76.03165854623907,-9.437717229547047
1548779031,41.178450233,-8.595103533,0.0,123.8,22.68681221906377,21.966457035622334,-5.671570611876306,22.68681221906377,21.966457035622334,-5.671570611876306,76.61510069863373,76.03165854623907,-9.437717229547047,76.61510069863373,76.03165854623907,-9.437717229547047
