systime,senderId,receiverId,channelFreq,channelBw,isDataReceived,rssiMean,dataRateMean,nBytesReceived
1548779017,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779017,ap2,m1,5190,40,1,-57.578053,149.911846,6273977
1548779017,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779017,ap1,w2,2437,20,1,-51.151943,16.207695,1511288
1548779018,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779018,ap2,m1,5190,40,1,-57.574120,144.271737,6327840
1548779018,ap4,w1,5230,40,1,-66.955224,37.701493,7877
1548779018,ap1,w2,2437,20,1,-50.101695,31.427253,2509381
1548779019,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779019,ap2,m1,5190,40,1,-57.592661,147.168578,6274274
1548779019,ap4,w1,5230,40,0,-72.000000,6.000000,209
1548779019,ap1,w2,2437,20,1,-50.030888,33.215141,2736619
1548779020,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779020,ap2,m1,5190,40,1,-57.419941,149.795594,6336898
1548779020,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779020,ap1,w2,2437,20,1,-50.315018,32.369144,2648290
1548779021,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779021,ap2,m1,5190,40,1,-57.425459,149.918312,6348522
1548779021,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779021,ap1,w2,2437,20,1,-50.493671,35.415133,2919596
1548779022,ap3,w3,2462,20,1,-73.222222,22.111111,1199
1548779022,ap2,m1,5190,40,1,-56.868401,129.658550,6885195
1548779022,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779022,ap1,w2,2437,20,1,-50.479508,34.049634,2988907
1548779023,ap3,w3,2462,20,1,-74.234899,6.242356,185244
1548779023,ap2,m1,5190,40,1,-57.044790,101.076325,8249130
1548779023,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779023,ap1,w2,2437,20,1,-50.452471,28.292348,2383291
1548779024,ap3,w3,2462,20,1,-74.049724,5.663599,362140
1548779024,ap2,m1,5190,40,1,-57.510307,140.675011,6847987
1548779024,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779024,ap1,w2,2437,20,1,-49.778195,32.802421,2913937
1548779025,ap3,w3,2462,20,1,-73.675926,7.672581,457063
1548779025,ap2,m1,5190,40,1,-57.267126,149.969655,6267009
1548779025,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779025,ap1,w2,2437,20,1,-50.325424,36.295660,3179691
1548779026,ap3,w3,2462,20,1,-73.643519,7.107254,554141
1548779026,ap2,m1,5190,40,1,-57.082348,149.868972,6329216
1548779026,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779026,ap1,w2,2437,20,1,-50.404348,31.944680,2280708
1548779027,ap3,w3,2462,20,1,-74.126812,10.715582,631390
1548779027,ap2,m1,5190,40,1,-57.206502,149.917582,6291957
1548779027,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779027,ap1,w2,2437,20,1,-50.810277,31.635261,2605521
1548779028,ap3,w3,2462,20,1,-73.730769,18.470092,87362
1548779028,ap2,m1,5190,40,1,-57.208867,149.958867,6304558
1548779028,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779028,ap1,w2,2437,20,1,-50.370629,32.998246,3472776
1548779029,ap3,w3,2462,20,1,-73.842105,8.064332,1291
1548779029,ap2,m1,5190,40,1,-57.306574,149.808997,6239479
1548779029,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779029,ap1,w2,2437,20,1,-50.389078,34.360251,2829342
1548779030,ap3,w3,2462,20,1,-73.621622,21.734241,31263
1548779030,ap2,m1,5190,40,1,-57.241267,149.941313,6185208
1548779030,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779030,ap1,w2,2437,20,1,-50.432990,33.843349,2403225
1548779031,ap3,w3,2462,20,1,-74.287879,11.814818,605751
1548779031,ap2,m1,5190,40,1,-57.262534,149.875570,6316676
1548779031,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779031,ap1,w2,2437,20,1,-49.897436,22.654322,1633422
1548779032,ap3,w3,2462,20,1,-74.472362,5.581799,297242
1548779032,ap2,m1,5190,40,1,-57.335011,149.887414,6292186
1548779032,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779032,ap1,w2,2437,20,1,-50.362500,31.731938,2445409
1548779033,ap3,w3,2462,20,1,-74.150289,4.955364,259745
1548779033,ap2,m1,5190,40,1,-57.342466,144.958680,6410210
1548779033,ap4,w1,5230,40,1,-67.285714,34.928571,1279
1548779033,ap1,w2,2437,20,1,-51.084034,32.152421,2833924
1548779034,ap3,w3,2462,20,1,-74.265766,5.524275,357659
1548779034,ap2,m1,5190,40,1,-57.266164,144.166552,6283137
1548779034,ap4,w1,5230,40,1,-67.727273,57.588068,396063
1548779034,ap1,w2,2437,20,1,-50.456621,32.196596,2458464
1548779035,ap3,w3,2462,20,1,-73.916058,8.616588,408478
1548779035,ap2,m1,5190,40,1,-57.022707,149.014248,6427909
1548779035,ap4,w1,5230,40,1,-68.398804,46.383219,3229753
1548779035,ap1,w2,2437,20,1,-50.433333,33.331479,2294121
1548779036,ap3,w3,2462,20,1,-73.760618,5.400469,245172
1548779036,ap2,m1,5190,40,1,-57.025290,149.188995,6293834
1548779036,ap4,w1,5230,40,1,-68.750000,43.981470,2174898
1548779036,ap1,w2,2437,20,1,-49.504630,31.836680,2448066
1548779037,ap3,w3,2462,20,1,-73.616438,11.503290,467069
1548779037,ap2,m1,5190,40,1,-57.124322,148.819055,6335250
1548779037,ap4,w1,5230,40,1,-69.856354,22.116713,900316
1548779037,ap1,w2,2437,20,1,-50.362069,31.620685,1836492
1548779038,ap3,w3,2462,20,1,-73.837563,8.340944,326883
1548779038,ap2,m1,5190,40,1,-57.018901,144.624396,6511818
1548779038,ap4,w1,5230,40,1,-70.335917,11.465116,437015
1548779038,ap1,w2,2437,20,1,-50.363636,38.227263,2689973
1548779039,ap3,w3,2462,20,1,-73.994872,8.505981,350739
1548779039,ap2,m1,5190,40,1,-56.877256,149.222924,6356136
1548779039,ap4,w1,5230,40,1,-69.045576,19.278150,951490
1548779039,ap1,w2,2437,20,1,-50.330508,34.299899,2894578
1548779040,ap3,w3,2462,20,1,-73.815574,10.138883,497309
1548779040,ap2,m1,5190,40,1,-56.873604,146.397387,6429312
1548779040,ap4,w1,5230,40,1,-69.136289,16.231117,1001954
1548779040,ap1,w2,2437,20,1,-50.511029,37.820254,3271589
1548779041,ap3,w3,2462,20,1,-74.176211,9.296618,457977
1548779041,ap2,m1,5190,40,1,-56.927232,145.413616,6399157
1548779041,ap4,w1,5230,40,1,-70.177453,6.049582,178058
1548779041,ap1,w2,2437,20,1,-50.121622,32.033276,2423302
1548779042,ap3,w3,2462,20,1,-74.419355,4.417562,159317
1548779042,ap2,m1,5190,40,1,-56.904731,135.965991,6564271
1548779042,ap4,w1,5230,40,1,-69.960938,6.205078,168409
1548779042,ap1,w2,2437,20,1,-50.287037,26.631169,2180365
1548779043,ap3,w3,2462,20,1,-73.855372,10.368911,679564
1548779043,ap2,m1,5190,40,1,-56.836902,149.261959,6295067
1548779043,ap4,w1,5230,40,1,-69.976834,6.233591,191487
1548779043,ap1,w2,2437,20,1,-50.468619,30.160849,2292887
1548779044,ap3,w3,2462,20,1,-73.991266,5.741629,326323
1548779044,ap2,m1,5190,40,1,-56.901377,148.933988,6348658
1548779044,ap4,w1,5230,40,1,-70.704225,6.230634,208227
1548779044,ap1,w2,2437,20,1,-50.305882,28.772111,2287131
1548779045,ap3,w3,2462,20,1,-73.287081,6.143008,238259
1548779045,ap2,m1,5190,40,1,-56.970595,148.702631,6462264
1548779045,ap4,w1,5230,40,1,-70.718121,6.270134,248213
1548779045,ap1,w2,2437,20,1,-50.349315,29.955288,3013897
1548779046,ap3,w3,2462,20,1,-73.390863,5.607443,133810
1548779046,ap2,m1,5190,40,1,-56.951635,148.839230,6385314
1548779046,ap4,w1,5230,40,1,-70.704626,6.250890,224015
1548779046,ap1,w2,2437,20,1,-50.848606,32.774893,2611546
1548779047,ap3,w3,2462,20,1,-73.795580,6.416821,255728
1548779047,ap2,m1,5190,40,1,-56.983297,148.633846,6504893
1548779047,ap4,w1,5230,40,1,-70.623377,6.254870,235669
1548779047,ap1,w2,2437,20,1,-50.350877,29.802730,2950713
1548779048,ap3,w3,2462,20,1,-73.743363,9.491637,520128
1548779048,ap2,m1,5190,40,1,-56.931999,149.388674,6311356
1548779048,ap4,w1,5230,40,1,-70.805861,6.252747,211700
1548779048,ap1,w2,2437,20,1,-50.596273,33.341434,3434759
1548779049,ap3,w3,2462,20,1,-73.462366,5.667858,176643
1548779049,ap2,m1,5190,40,1,-56.880090,149.171204,6369909
1548779049,ap4,w1,5230,40,1,-70.452297,6.238516,206117
1548779049,ap1,w2,2437,20,1,-50.478873,32.098979,3157942
1548779050,ap3,w3,2462,20,1,-73.502857,6.461902,267304
1548779050,ap2,m1,5190,40,1,-56.845398,148.766756,6399701
1548779050,ap4,w1,5230,40,1,-70.860294,6.246324,209662
1548779050,ap1,w2,2437,20,1,-50.742188,32.391268,2983209
1548779051,ap3,w3,2462,20,1,-73.357724,3.531165,184126
1548779051,ap2,m1,5190,40,1,-56.846585,148.835274,6392885
1548779051,ap4,w1,5230,40,1,-70.288488,6.086685,210311
1548779051,ap1,w2,2437,20,1,-50.580769,29.995082,2536207
1548779052,ap3,w3,2462,20,1,-73.210526,4.598929,149749
1548779052,ap2,m1,5190,40,1,-56.900131,140.078609,6558511
1548779052,ap4,w1,5230,40,1,-69.842262,6.038690,206964
1548779052,ap1,w2,2437,20,1,-50.594697,32.085433,3067276
1548779053,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779053,ap2,m1,5190,40,1,-57.097322,144.716199,6562596
1548779053,ap4,w1,5230,40,1,-70.522337,6.230241,213708
1548779053,ap1,w2,2437,20,1,-50.489362,29.978487,2587977
1548779054,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779054,ap2,m1,5190,40,1,-56.775246,149.107239,6413032
1548779054,ap4,w1,5230,40,1,-71.031359,6.240418,217616
1548779054,ap1,w2,2437,20,1,-50.485944,32.756797,2891477
1548779055,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779055,ap2,m1,5190,40,1,-56.989507,149.139987,6419218
1548779055,ap4,w1,5230,40,1,-70.145455,6.241818,208923
1548779055,ap1,w2,2437,20,1,-50.996032,30.152771,2538166
1548779056,ap3,w3,2462,20,1,-73.500000,7.972225,2385
1548779056,ap2,m1,5190,40,1,-56.842953,148.947651,6392697
1548779056,ap4,w1,5230,40,1,-70.895307,6.241877,213232
1548779056,ap1,w2,2437,20,1,-50.738776,30.192741,2781681
1548779057,ap3,w3,2462,20,1,-73.066667,7.235980,18185
1548779057,ap2,m1,5190,40,1,-56.858093,148.762749,6444411
1548779057,ap4,w1,5230,40,1,-70.762821,6.261218,257171
1548779057,ap1,w2,2437,20,1,-50.339713,24.310472,1841954
1548779058,ap3,w3,2462,20,1,-73.195122,5.489972,330774
1548779058,ap2,m1,5190,40,1,-56.973991,145.510426,6386309
1548779058,ap4,w1,5230,40,1,-70.884488,6.268977,257545
1548779058,ap1,w2,2437,20,1,-49.945736,27.410639,2396417
1548779059,ap3,w3,2462,20,1,-73.459330,5.889952,245565
1548779059,ap2,m1,5190,40,1,-56.901531,147.900960,6247313
1548779059,ap4,w1,5230,40,1,-70.812287,6.266212,243838
1548779059,ap1,w2,2437,20,1,-50.339552,31.687390,2761495
1548779060,ap3,w3,2462,20,1,-73.393064,4.215799,151188
1548779060,ap2,m1,5190,40,1,-56.935939,143.014007,6573551
1548779060,ap4,w1,5230,40,1,-70.240310,6.213178,175402
1548779060,ap1,w2,2437,20,1,-49.825503,30.131991,2835654
1548779061,ap3,w3,2462,20,1,-73.656522,5.259419,198417
1548779061,ap2,m1,5190,40,1,-56.879763,143.503422,6293308
1548779061,ap4,w1,5230,40,1,-69.625000,6.562500,91137
1548779061,ap1,w2,2437,20,1,-50.319728,28.542706,2696644
1548779062,ap3,w3,2462,20,1,-73.436893,3.590074,119531
1548779062,ap2,m1,5190,40,1,-56.978437,149.146882,6191097
1548779062,ap4,w1,5230,40,1,-68.280088,48.977024,1818794
1548779062,ap1,w2,2437,20,1,-50.532544,29.064918,2931228
1548779063,ap3,w3,2462,20,1,-73.273743,5.819984,107178
1548779063,ap2,m1,5190,40,1,-56.983480,147.627970,6326115
1548779063,ap4,w1,5230,40,1,-69.862032,12.429658,1008968
1548779063,ap1,w2,2437,20,1,-50.483019,25.106288,2363686
1548779064,ap3,w3,2462,20,1,-73.420118,3.730440,50945
1548779064,ap2,m1,5190,40,1,-56.909378,148.867899,6352711
1548779064,ap4,w1,5230,40,1,-70.164557,6.246835,226940
1548779064,ap1,w2,2437,20,1,-49.989286,22.352976,2223650
1548779065,ap3,w3,2462,20,1,-73.563910,5.093985,38709
1548779065,ap2,m1,5190,40,1,-57.109027,144.549171,6568910
1548779065,ap4,w1,5230,40,1,-70.288591,6.253356,219403
1548779065,ap1,w2,2437,20,1,-50.007143,25.838887,2409674
1548779066,ap3,w3,2462,20,1,-73.210191,6.617834,60043
1548779066,ap2,m1,5190,40,1,-56.911250,146.778450,6604955
1548779066,ap4,w1,5230,40,1,-70.360656,6.265574,200906
1548779066,ap1,w2,2437,20,1,-50.694981,31.394459,2852637
1548779067,ap3,w3,2462,20,1,-73.043689,3.817961,49814
1548779067,ap2,m1,5190,40,1,-57.149978,145.344508,6464642
1548779067,ap4,w1,5230,40,1,-69.992620,6.166052,136604
1548779067,ap1,w2,2437,20,1,-50.255639,29.838968,2676447
1548779068,ap3,w3,2462,20,1,-73.488806,2.952322,65073
1548779068,ap2,m1,5190,40,1,-57.020308,144.865990,6431615
1548779068,ap4,w1,5230,40,1,-68.566502,22.378079,1003730
1548779068,ap1,w2,2437,20,1,-50.060000,28.260555,2677775
1548779069,ap3,w3,2462,20,1,-73.265700,2.681159,37537
1548779069,ap2,m1,5190,40,1,-57.174291,143.744923,6413685
1548779069,ap4,w1,5230,40,1,-69.259414,17.417364,527562
1548779069,ap1,w2,2437,20,1,-50.882353,33.364972,3360759
1548779070,ap3,w3,2462,20,1,-73.502304,4.192525,217786
1548779070,ap2,m1,5190,40,1,-57.153210,146.637329,6381762
1548779070,ap4,w1,5230,40,1,-70.605364,6.147510,124643
1548779070,ap1,w2,2437,20,1,-49.969112,23.069928,2096941
1548779071,ap3,w3,2462,20,1,-73.729358,4.753823,250381
1548779071,ap2,m1,5190,40,1,-57.365800,134.936205,6467140
1548779071,ap4,w1,5230,40,1,-70.241245,6.186770,134989
1548779071,ap1,w2,2437,20,1,-50.266917,22.045529,1943260
1548779072,ap3,w3,2462,20,1,-73.540984,4.934883,137631
1548779072,ap2,m1,5190,40,1,-57.388913,136.608031,6544847
1548779072,ap4,w1,5230,40,1,-70.023256,6.174419,125221
1548779072,ap1,w2,2437,20,1,-50.453704,30.177809,3208277
1548779073,ap3,w3,2462,20,1,-73.479821,4.915296,174868
1548779073,ap2,m1,5190,40,1,-57.378324,142.290168,6406914
1548779073,ap4,w1,5230,40,1,-70.351254,6.152330,137447
1548779073,ap1,w2,2437,20,1,-50.617555,29.340816,3329494
1548779074,ap3,w3,2462,20,1,-73.653696,7.500648,183421
1548779074,ap2,m1,5190,40,1,-57.352727,148.828636,6296248
1548779074,ap4,w1,5230,40,1,-70.717742,6.159274,127923
1548779074,ap1,w2,2437,20,1,-50.645161,33.814812,3146671
1548779075,ap3,w3,2462,20,1,-73.735786,8.447418,202596
1548779075,ap2,m1,5190,40,1,-57.159278,148.120071,6431368
1548779075,ap4,w1,5230,40,1,-70.708029,6.186131,163102
1548779075,ap1,w2,2437,20,1,-50.392617,31.890373,3381490
1548779076,ap3,w3,2462,20,1,-74.109890,9.892554,139192
1548779076,ap2,m1,5190,40,1,-57.247852,148.740841,6318451
1548779076,ap4,w1,5230,40,1,-71.095057,6.254753,171170
1548779076,ap1,w2,2437,20,1,-50.397260,34.260458,3191797
1548779077,ap3,w3,2462,20,1,-74.106061,4.859428,61439
1548779077,ap2,m1,5190,40,1,-57.024035,148.023705,6462833
1548779077,ap4,w1,5230,40,1,-70.793774,6.184825,148477
1548779077,ap1,w2,2437,20,1,-50.867925,23.183225,1878254
1548779078,ap3,w3,2462,20,1,-73.588235,4.884660,155243
1548779078,ap2,m1,5190,40,1,-57.250000,148.965704,6341928
1548779078,ap4,w1,5230,40,1,-71.330935,6.197842,167922
1548779078,ap1,w2,2437,20,1,-50.636656,22.015359,2319472
1548779079,ap3,w3,2462,20,1,-73.487578,5.934955,145294
1548779079,ap2,m1,5190,40,1,-57.239330,149.144581,6410278
1548779079,ap4,w1,5230,40,1,-71.015504,6.187984,151549
1548779079,ap1,w2,2437,20,1,-50.522901,33.133580,2794789
1548779080,ap3,w3,2462,20,1,-73.527778,3.353704,52829
1548779080,ap2,m1,5190,40,1,-57.299355,148.982417,6429983
1548779080,ap4,w1,5230,40,1,-70.325260,6.280277,193324
1548779080,ap1,w2,2437,20,1,-50.738095,28.693871,2686661
1548779081,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779081,ap2,m1,5190,40,1,-57.484257,148.539246,6437844
1548779081,ap4,w1,5230,40,1,-70.475096,6.216475,139338
1548779081,ap1,w2,2437,20,1,-50.879167,33.101843,2731271
1548779082,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779082,ap2,m1,5190,40,1,-57.427815,142.289073,6471431
1548779082,ap4,w1,5230,40,1,-69.502008,6.130522,103947
1548779082,ap1,w2,2437,20,1,-50.672131,30.145259,2707648
1548779083,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779083,ap2,m1,5190,40,1,-56.915781,131.407604,6303122
1548779083,ap4,w1,5230,40,1,-69.491018,8.887725,287788
1548779083,ap1,w2,2437,20,1,-50.044068,34.348775,3325325
1548779084,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779084,ap2,m1,5190,40,1,-57.078616,115.683105,8660008
1548779084,ap4,w1,5230,40,1,-66.938821,17.546162,1215067
1548779084,ap1,w2,2437,20,1,-51.076628,34.062572,3064382
1548779085,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779085,ap2,m1,5190,40,1,-57.182553,140.805533,6987861
1548779085,ap4,w1,5230,40,1,-68.279221,21.762987,819490
1548779085,ap1,w2,2437,20,1,-50.618056,33.287223,3189608
1548779086,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779086,ap2,m1,5190,40,1,-57.225939,149.844369,6326820
1548779086,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779086,ap1,w2,2437,20,1,-50.635338,33.207179,3053151
1548779087,ap3,w3,2462,20,0,-100.000000,0.000000,0
1548779087,ap2,m1,5190,40,1,-57.233731,149.844638,6281235
1548779087,ap4,w1,5230,40,1,-74.000000,10.875000,197
1548779087,ap1,w2,2437,20,1,-51.088136,37.192457,3794404
1548779088,ap3,w3,2462,20,0,-74.000000,1.000000,112
1548779088,ap2,m1,5190,40,1,-57.271767,149.903515,6269312
1548779088,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779088,ap1,w2,2437,20,1,-50.625551,32.926082,3051359
1548779089,ap3,w3,2462,20,1,-73.642857,5.547619,6722
1548779089,ap2,m1,5190,40,1,-57.222881,149.909754,6318977
1548779089,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779089,ap1,w2,2437,20,1,-49.697595,24.727378,2511477
1548779090,ap3,w3,2462,20,1,-73.401099,6.576923,47656
1548779090,ap2,m1,5190,40,1,-57.163312,149.838060,6293775
1548779090,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779090,ap1,w2,2437,20,1,-49.718631,20.784963,1846275
1548779091,ap3,w3,2462,20,1,-73.636816,2.923162,54590
1548779091,ap2,m1,5190,40,1,-57.149024,150.005511,6276985
1548779091,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779091,ap1,w2,2437,20,1,-50.225705,25.466560,2677528
1548779092,ap3,w3,2462,20,1,-73.325301,7.733824,129718
1548779092,ap2,m1,5190,40,1,-57.070397,149.944967,6281233
1548779092,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779092,ap1,w2,2437,20,1,-49.821739,25.317389,1999590
1548779093,ap3,w3,2462,20,1,-73.471616,5.926249,93053
1548779093,ap2,m1,5190,40,1,-57.063947,149.942242,6283663
1548779093,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779093,ap1,w2,2437,20,1,-50.527972,27.540403,2510192
1548779094,ap3,w3,2462,20,1,-74.003831,3.948702,83474
1548779094,ap2,m1,5190,40,1,-56.898332,149.879369,6301711
1548779094,ap4,w1,5230,40,0,-100.000000,0.000000,0
1548779094,ap1,w2,2437,20,1,-50.404580,28.519295,2192642
1548779095,ap3,w3,2462,20,1,-73.429429,3.656987,113376
1548779095,ap2,m1,5190,40,1,-56.926498,149.912921,6150837
1548779095,ap4,w1,5230,40,1,-68.133333,15.800000,1431
1548779095,ap1,w2,2437,20,1,-50.450382,28.340963,2358849
1548779096,ap3,w3,2462,20,1,-73.435356,6.938440,141752
1548779096,ap2,m1,5190,40,1,-57.024989,140.945139,6308645
1548779096,ap4,w1,5230,40,1,-68.052910,23.269841,861903
1548779096,ap1,w2,2437,20,1,-50.204698,21.321401,2012568
1548779097,ap3,w3,2462,20,1,-73.545977,5.017723,81598
