,timestamp,freq,noise,cat,cbt,crt,ctt,ch-util,id,mac-addr
59,1548782532,5240,-102,38763,35870,0,1983,95.40153282239253,ap4,78:8a:20:58:25:74
60,1548782534,5240,-102,40763,37129,0,1212,62.949999999999996,ap4,78:8a:20:58:25:74
61,1548782536,5240,-102,42763,39042,0,1781,95.65,ap4,78:8a:20:58:25:74
62,1548782538,5240,-102,44763,40954,0,1680,95.6,ap4,78:8a:20:58:25:74
63,1548782541,5240,-102,46763,42864,0,1571,95.5,ap4,78:8a:20:58:25:74
64,1548782543,5240,-102,48763,44197,0,882,66.64999999999999,ap4,78:8a:20:58:25:74
65,1548782545,5240,-102,26360,23339,0,813,93.10360219613445,ap4,78:8a:20:58:25:74
66,1548782547,5240,-102,28360,25146,0,1175,90.35,ap4,78:8a:20:58:25:74
67,1548782549,5240,-102,30360,27014,0,1167,93.4,ap4,78:8a:20:58:25:74
68,1548782551,5240,-102,32360,28924,0,1059,95.5,ap4,78:8a:20:58:25:74
69,1548782553,5240,-102,35360,31782,0,1898,95.26666666666667,ap4,78:8a:20:58:25:74
70,1548782555,5240,-102,37360,33691,0,1788,95.45,ap4,78:8a:20:58:25:74
71,1548782557,5240,-102,39360,35599,0,1689,95.39999999999999,ap4,78:8a:20:58:25:74
72,1548782560,5240,-102,41360,37508,0,1583,95.45,ap4,78:8a:20:58:25:74
73,1548782562,5240,-102,43360,39329,0,1407,91.05,ap4,78:8a:20:58:25:74
74,1548782564,5240,-102,45360,41241,0,1389,95.6,ap4,78:8a:20:58:25:74
75,1548782566,5240,-102,47360,43153,0,1295,95.6,ap4,78:8a:20:58:25:74
76,1548782568,5240,-102,48360,44110,0,235,95.7,ap4,78:8a:20:58:25:74
77,1548782570,5240,-102,26957,24707,0,1084,90.65551558192777,ap4,78:8a:20:58:25:74
78,1548782572,5240,-102,29957,27571,0,1894,95.46666666666667,ap4,78:8a:20:58:25:74
79,1548782574,5240,-102,31958,29163,0,1499,79.56021989005497,ap4,78:8a:20:58:25:74
80,1548782576,5240,-102,33958,30411,0,1113,62.4,ap4,78:8a:20:58:25:74
81,1548782579,5240,-101,35958,30453,0,5,2.1,ap4,78:8a:20:58:25:74
82,1548782581,5240,-101,37958,31290,0,784,41.85,ap4,78:8a:20:58:25:74
83,1548782583,5240,-101,39958,33188,0,1400,94.89999999999999,ap4,78:8a:20:58:25:74
84,1548782585,5240,-101,41958,35090,0,1282,95.1,ap4,78:8a:20:58:25:74
85,1548782587,5240,-101,43958,36942,0,1147,92.60000000000001,ap4,78:8a:20:58:25:74
86,1548782589,5240,-101,45958,38813,0,1039,93.55,ap4,78:8a:20:58:25:74
87,1548782591,5240,-101,47958,40668,0,992,92.75,ap4,78:8a:20:58:25:74
88,1548782593,5240,-101,26555,22784,0,1836,83.5583796664019,ap4,78:8a:20:58:25:74
89,1548782595,5240,-101,28555,24691,0,1747,95.35,ap4,78:8a:20:58:25:74
90,1548782597,5240,-101,30555,26598,0,1643,95.35,ap4,78:8a:20:58:25:74
91,1548782600,5240,-101,32555,28496,0,1538,94.89999999999999,ap4,78:8a:20:58:25:74
92,1548782602,5240,-101,34555,30396,0,1438,95.0,ap4,78:8a:20:58:25:74
93,1548782604,5240,-101,36555,32295,0,1339,94.95,ap4,78:8a:20:58:25:74
94,1548782606,5240,-101,38555,34213,0,1247,95.89999999999999,ap4,78:8a:20:58:25:74
95,1548782608,5240,-102,40556,36125,0,1160,95.55222388805598,ap4,78:8a:20:58:25:74
96,1548782610,5240,-102,42556,38037,0,1052,95.6,ap4,78:8a:20:58:25:74
97,1548782612,5240,-102,45556,40905,0,1889,95.6,ap4,78:8a:20:58:25:74
98,1548782614,5240,-102,47556,42817,0,1784,95.6,ap4,78:8a:20:58:25:74
99,1548782616,5240,-102,48556,43773,0,750,95.6,ap4,78:8a:20:58:25:74
100,1548782619,5240,-102,27153,24634,0,1593,89.42204363874224,ap4,78:8a:20:58:25:74
101,1548782621,5240,-102,1442,1347,0,1438,90.57212866088445,ap4,78:8a:20:58:25:74
102,1548782623,5240,-102,3442,3263,0,1377,95.8,ap4,78:8a:20:58:25:74
103,1548782625,5240,-102,5442,5179,0,1279,95.8,ap4,78:8a:20:58:25:74
104,1548782395,5240,-102,46890,29439,0,1512,95.5,ap4,78:8a:20:58:25:74
105,1548782397,5240,-102,47890,30395,0,464,95.6,ap4,78:8a:20:58:25:74
106,1548782401,5240,-103,28487,19527,0,1250,56.0119569138793,ap4,78:8a:20:58:25:74
107,1548782403,5240,-103,30487,21438,0,1148,95.55,ap4,78:8a:20:58:25:74
108,1548782405,5240,-103,32487,23345,0,1077,95.35,ap4,78:8a:20:58:25:74
109,1548782407,5240,-103,35487,26142,0,1892,93.23333333333333,ap4,78:8a:20:58:25:74
110,1548782409,5240,-103,37487,28054,0,1848,95.6,ap4,78:8a:20:58:25:74
111,1548782411,5240,-103,39487,29966,0,1769,95.6,ap4,78:8a:20:58:25:74
112,1548782413,5240,-103,41487,31794,0,1599,91.4,ap4,78:8a:20:58:25:74
113,1548782416,5240,-103,43487,33671,0,1584,93.85,ap4,78:8a:20:58:25:74
114,1548782418,5240,-103,45487,35518,0,1467,92.35,ap4,78:8a:20:58:25:74
115,1548782420,5240,-103,47488,37412,0,1432,94.65267366316841,ap4,78:8a:20:58:25:74
116,1548782422,5240,-103,48488,38365,0,407,95.3,ap4,78:8a:20:58:25:74
117,1548782424,5240,-103,27084,21900,0,1298,76.92487385535414,ap4,78:8a:20:58:25:74
118,1548782426,5240,-103,29085,23813,0,1207,95.60219890054972,ap4,78:8a:20:58:25:74
119,1548782428,5240,-102,31085,25727,0,1123,95.7,ap4,78:8a:20:58:25:74
120,1548782430,5240,-102,33085,27629,0,1049,95.1,ap4,78:8a:20:58:25:74
121,1548782432,5240,-102,36085,30480,0,1901,95.03333333333333,ap4,78:8a:20:58:25:74
122,1548782434,5240,-102,38085,32283,0,1748,90.14999999999999,ap4,78:8a:20:58:25:74
123,1548782436,5240,-102,40085,34124,0,1677,92.05,ap4,78:8a:20:58:25:74
124,1548782438,5240,-102,42085,36038,0,1658,95.7,ap4,78:8a:20:58:25:74
125,1548782441,5240,-102,44085,37951,0,1570,95.65,ap4,78:8a:20:58:25:74
126,1548782443,5240,-102,46085,39475,0,1112,76.2,ap4,78:8a:20:58:25:74
