systime,senderId,receiverId,channelFreq,channelBw,rssiMean,dataRateMean,nBytesReceived
1548779018,ap4,w1,5230,40,-100.000000,0.000000,0
1548779018,ap1,w2,2437,20,-50.192661,70.297142,2499907
1548779019,ap3,w3,2462,20,-100.000000,0.000000,0
1548779019,ap2,m1,5190,40,-57.596689,147.366636,6266295
1548779019,ap4,w1,5230,40,-100.000000,0.000000,0
1548779019,ap1,w2,2437,20,-49.465649,67.127159,2729451
1548779020,ap3,w3,2462,20,-100.000000,0.000000,0
1548779020,ap2,m1,5190,40,-57.424084,150.024585,6331995
1548779020,ap4,w1,5230,40,-100.000000,0.000000,0
1548779020,ap1,w2,2437,20,-49.781250,68.662624,2640170
1548779021,ap3,w3,2462,20,-100.000000,0.000000,0
1548779021,ap2,m1,5190,40,-57.427339,150.016349,6348420
1548779021,ap4,w1,5230,40,-100.000000,0.000000,0
1548779021,ap1,w2,2437,20,-50.579365,71.212860,2910972
1548779022,ap3,w3,2462,20,-100.000000,0.000000,0
1548779022,ap2,m1,5190,40,-57.423886,145.792052,6857020
1548779022,ap4,w1,5230,40,-100.000000,0.000000,0
1548779022,ap1,w2,2437,20,-50.220472,65.876492,2982355
1548779023,ap3,w3,2462,20,-72.647059,36.638892,177367
1548779023,ap2,m1,5190,40,-57.706760,115.538455,8213805
1548779023,ap4,w1,5230,40,-100.000000,0.000000,0
1548779023,ap1,w2,2437,20,-50.028302,69.195948,2371457
1548779024,ap3,w3,2462,20,-72.208333,40.111584,351781
1548779024,ap2,m1,5190,40,-57.512524,140.760051,6847885
1548779024,ap4,w1,5230,40,-100.000000,0.000000,0
1548779024,ap1,w2,2437,20,-49.234848,65.496653,2905592
1548779025,ap3,w3,2462,20,-72.307692,38.600315,445153
1548779025,ap2,m1,5190,40,-57.268169,150.002760,6265420
1548779025,ap4,w1,5230,40,-100.000000,0.000000,0
1548779025,ap1,w2,2437,20,-50.210526,70.233403,3171683
1548779026,ap3,w3,2462,20,-71.812500,32.007055,543166
1548779026,ap2,m1,5190,40,-57.085155,150.000000,6329080
1548779026,ap4,w1,5230,40,-100.000000,0.000000,0
1548779026,ap1,w2,2437,20,-49.798165,67.839369,2272411
1548779027,ap3,w3,2462,20,-72.018182,52.688566,614993
1548779027,ap2,m1,5190,40,-57.208706,150.016495,6291855
1548779027,ap4,w1,5230,40,-100.000000,0.000000,0
1548779027,ap1,w2,2437,20,-50.373913,68.988156,2597793
1548779028,ap3,w3,2462,20,-72.500000,57.777800,86354
1548779028,ap2,m1,5190,40,-57.210611,150.024697,6302935
1548779028,ap4,w1,5230,40,-100.000000,0.000000,0
1548779028,ap1,w2,2437,20,-49.782609,68.957100,3462967
1548779029,ap3,w3,2462,20,-100.000000,0.000000,0
1548779029,ap2,m1,5190,40,-57.310695,150.008316,6239275
1548779029,ap4,w1,5230,40,-100.000000,0.000000,0
1548779029,ap1,w2,2437,20,-50.114286,71.679694,2816211
1548779030,ap3,w3,2462,20,-72.285714,58.202635,23201
1548779030,ap2,m1,5190,40,-57.242714,150.008394,6180475
1548779030,ap4,w1,5230,40,-100.000000,0.000000,0
1548779030,ap1,w2,2437,20,-50.375000,69.795707,2396896
1548779031,ap3,w3,2462,20,-72.461538,55.191148,590837
1548779031,ap2,m1,5190,40,-57.265465,150.005478,6313335
1548779031,ap4,w1,5230,40,-100.000000,0.000000,0
1548779031,ap1,w2,2437,20,-49.411765,61.295187,1622036
1548779032,ap3,w3,2462,20,-72.588235,57.366132,287050
1548779032,ap2,m1,5190,40,-57.337457,150.019244,6290495
1548779032,ap4,w1,5230,40,-100.000000,0.000000,0
1548779032,ap1,w2,2437,20,-50.111111,70.100494,2436496
1548779033,ap3,w3,2462,20,-72.000000,43.481074,250122
1548779033,ap2,m1,5190,40,-57.344424,145.114883,6410040
1548779033,ap4,w1,5230,40,-100.000000,0.000000,0
1548779033,ap1,w2,2437,20,-50.436364,69.994760,2826756
1548779034,ap3,w3,2462,20,-72.210526,57.572717,346291
1548779034,ap2,m1,5190,40,-57.277816,144.737096,6282525
1548779034,ap4,w1,5230,40,-67.970370,64.700000,387890
1548779034,ap1,w2,2437,20,-49.892157,67.676072,2451071
1548779035,ap3,w3,2462,20,-72.100000,54.804394,395374
1548779035,ap2,m1,5190,40,-57.041077,150.008081,6418205
1548779035,ap4,w1,5230,40,-68.419599,48.128062,3226455
1548779035,ap1,w2,2437,20,-50.196078,66.457755,2285031
1548779036,ap3,w3,2462,20,-72.161290,39.485920,232404
1548779036,ap2,m1,5190,40,-57.037801,149.877320,6288455
1548779036,ap4,w1,5230,40,-68.782258,46.582997,2169000
1548779036,ap1,w2,2437,20,-48.540541,61.096647,2440665
1548779037,ap3,w3,2462,20,-71.783333,42.053936,458165
1548779037,ap2,m1,5190,40,-57.143573,149.793870,6324900
1548779037,ap4,w1,5230,40,-69.844408,24.877634,892795
1548779037,ap1,w2,2437,20,-50.200000,68.051475,1828186
1548779038,ap3,w3,2462,20,-71.918919,39.792415,316402
1548779038,ap2,m1,5190,40,-57.036774,145.608662,6504510
1548779038,ap4,w1,5230,40,-71.010526,13.149123,417335
1548779038,ap1,w2,2437,20,-50.418803,71.651470,2684205
1548779039,ap3,w3,2462,20,-72.211538,28.260859,341210
1548779039,ap2,m1,5190,40,-56.890604,150.002724,6352210
1548779039,ap4,w1,5230,40,-69.105919,21.384735,941870
1548779039,ap1,w2,2437,20,-50.393443,69.515402,2886673
1548779040,ap3,w3,2462,20,-72.081967,38.006649,487061
1548779040,ap2,m1,5190,40,-56.880215,146.962651,6425590
1548779040,ap4,w1,5230,40,-68.895801,25.300933,970625
1548779040,ap1,w2,2437,20,-50.465753,70.558879,3263692
1548779041,ap3,w3,2462,20,-72.093023,43.519222,444631
1548779041,ap2,m1,5190,40,-56.953284,146.760325,6388365
1548779041,ap4,w1,5230,40,-70.560976,6.500000,125470
1548779041,ap1,w2,2437,20,-50.303922,70.779127,2414220
1548779042,ap3,w3,2462,20,-71.454545,42.511971,145774
1548779042,ap2,m1,5190,40,-56.925413,136.938614,6550675
1548779042,ap4,w1,5230,40,-71.777778,6.500000,153945
1548779042,ap1,w2,2437,20,-50.083333,67.276990,2172973
1548779043,ap3,w3,2462,20,-72.034483,40.705175,667739
1548779043,ap2,m1,5190,40,-56.849026,150.016495,6291175
1548779043,ap4,w1,5230,40,-71.513514,6.500000,171245
1548779043,ap1,w2,2437,20,-50.028571,69.039170,2285383
1548779044,ap3,w3,2462,20,-72.033333,38.157396,314292
1548779044,ap2,m1,5190,40,-56.917899,149.809984,6336855
1548779044,ap4,w1,5230,40,-71.524590,6.500000,189030
1548779044,ap1,w2,2437,20,-49.672727,65.790410,2275969
1548779045,ap3,w3,2462,20,-71.787879,34.403205,228403
1548779045,ap2,m1,5190,40,-56.994191,150.008043,6451540
1548779045,ap4,w1,5230,40,-71.493151,6.500000,222270
1548779045,ap1,w2,2437,20,-50.000000,65.831576,3001783
1548779046,ap3,w3,2462,20,-71.708333,36.942486,124122
1548779046,ap2,m1,5190,40,-56.971984,150.000000,6377870
1548779046,ap4,w1,5230,40,-72.311475,6.500000,189710
1548779046,ap1,w2,2437,20,-50.610169,69.901953,2601010
1548779047,ap3,w3,2462,20,-72.085714,28.696302,245985
1548779047,ap2,m1,5190,40,-57.004439,149.802929,6492750
1548779047,ap4,w1,5230,40,-71.569444,6.500000,212360
1548779047,ap1,w2,2437,20,-49.767442,64.712257,2940456
1548779048,ap3,w3,2462,20,-71.907407,38.096678,508929
1548779048,ap2,m1,5190,40,-56.944483,150.010966,6309155
1548779048,ap4,w1,5230,40,-71.967213,6.500000,182230
1548779048,ap1,w2,2437,20,-50.476821,71.246488,3423662
1548779049,ap3,w3,2462,20,-71.739130,41.072434,167515
1548779049,ap2,m1,5190,40,-56.895083,150.013596,6359695
1548779049,ap4,w1,5230,40,-72.031746,6.500000,187090
1548779049,ap1,w2,2437,20,-49.681818,68.005013,3146293
1548779050,ap3,w3,2462,20,-71.700000,35.086926,257259
1548779050,ap2,m1,5190,40,-56.868172,150.021670,6387490
1548779050,ap4,w1,5230,40,-71.808000,6.500000,190975
1548779050,ap1,w2,2437,20,-50.572650,71.285046,2975425
1548779051,ap3,w3,2462,20,-71.652174,28.925916,171329
1548779051,ap2,m1,5190,40,-56.864108,149.801242,6384090
1548779051,ap4,w1,5230,40,-71.863248,6.500000,176495
1548779051,ap1,w2,2437,20,-50.162393,66.733407,2525157
1548779052,ap3,w3,2462,20,-71.666667,23.381948,141092
1548779052,ap2,m1,5190,40,-56.924636,141.230057,6543190
1548779052,ap4,w1,5230,40,-71.910112,6.500000,137035
1548779052,ap1,w2,2437,20,-49.935484,68.246756,3057869
1548779053,ap3,w3,2462,20,-100.000000,0.000000,0
1548779053,ap2,m1,5190,40,-57.121126,145.905913,6553495
1548779053,ap4,w1,5230,40,-71.931624,6.500000,181935
1548779053,ap1,w2,2437,20,-50.027523,63.936793,2576312
1548779054,ap3,w3,2462,20,-100.000000,0.000000,0
1548779054,ap2,m1,5190,40,-56.792079,150.008101,6405860
1548779054,ap4,w1,5230,40,-71.843750,6.500000,197000
1548779054,ap1,w2,2437,20,-50.586207,71.458088,2884029
1548779055,ap3,w3,2462,20,-100.000000,0.000000,0
1548779055,ap2,m1,5190,40,-57.006069,150.008092,6413635
1548779055,ap4,w1,5230,40,-71.153153,6.500000,171245
1548779055,ap1,w2,2437,20,-50.092593,70.745131,2530102
1548779056,ap3,w3,2462,20,-100.000000,0.000000,0
1548779056,ap2,m1,5190,40,-56.861462,150.010830,6383800
