time,lon,lat,alt,speed,epx,epy,epv,eps
1527010761,-8.595280056,41.178452314,148.821,0.083,1.852,4.127,8.388,8.25
1527010764,-8.595280056,41.178459091,149.48,0.083,1.852,4.127,8.388,8.25
1527010767,-8.595268272,41.178459977,149.367,0.144,1.852,4.127,8.388,8.25
1527010770,-8.595266491,41.178454115,150.111,0.083,1.852,4.127,8.388,8.25
1527010773,-8.595266491,41.178454115,150.111,0.083,1.852,4.127,8.388,8.25
1527010776,-8.59526471,41.178448253,150.856,0.094,1.852,4.127,8.388,8.25
1527010779,-8.595266491,41.178460892,150.77,0.0,1.852,4.127,8.388,8.25
1527010782,-8.595266491,41.178460892,150.77,0.0,1.852,4.127,8.388,8.25
1527010785,-8.595254707,41.178468555,151.316,0.094,1.852,4.127,8.388,8.25
1527010788,-8.595252926,41.178462694,152.06,0.083,1.852,4.127,8.388,8.25
1527010791,-8.595251145,41.178456832,152.804,0.083,1.852,4.127,8.388,8.25
1527010794,-8.595249364,41.17845097,153.548,0.083,1.852,4.127,8.388,8.25
1527010797,-8.595247583,41.178445108,154.293,0.083,1.852,4.127,8.388,8.25
1527010800,-8.595247583,41.178445108,154.293,0.083,1.852,4.127,8.388,8.25
1527010803,-8.595245802,41.178432469,154.378,0.0,1.852,4.127,8.388,8.25
1527010806,-8.595234018,41.178433355,154.266,0.083,1.852,4.127,8.388,8.25
1527010809,-8.595232237,41.178427494,155.01,0.0,1.852,4.127,8.388,8.25
1527010812,-8.595232237,41.178427494,155.01,0.0,1.852,4.127,8.388,8.25
1527010815,-8.595234018,41.178433355,154.266,0.094,1.852,4.127,8.388,8.25
1527010818,-8.595232237,41.178427494,155.01,0.0,1.852,4.127,8.388,8.25
1527010821,-8.595232237,41.178427494,155.01,0.0,1.852,4.127,8.388,8.25
1527010824,-8.595230456,41.178421632,155.754,0.0,1.852,4.127,8.388,8.25
1527010827,-8.595230456,41.178414855,155.096,0.083,1.852,4.127,8.388,8.25
1527010830,-8.595228675,41.178408993,155.84,0.083,1.852,4.127,8.388,8.25
1527010833,-8.595226894,41.178403131,156.584,0.083,1.852,4.127,8.388,8.25
1527010836,-8.595226894,41.178396354,155.926,0.083,1.852,4.127,8.388,8.25
1527010839,-8.595236896,41.17838283,156.124,0.0,1.852,4.127,8.388,8.25
1527010842,-8.595235115,41.178370191,156.21,0.0,1.852,4.127,8.388,8.25
