,timestamp,freq,noise,cat,cbt,crt,ctt,ch-util,id,mac-addr
0,1548780468,5240,-101,34460,16479,0,1440,93.45,ap4,78:8a:20:58:25:74
1,1548780470,5240,-101,36461,18375,0,1389,94.75262368815592,ap4,78:8a:20:58:25:74
2,1548780473,5240,-101,38461,20278,0,1285,95.15,ap4,78:8a:20:58:25:74
3,1548780475,5240,-101,40461,22173,0,1186,94.75,ap4,78:8a:20:58:25:74
4,1548780477,5240,-101,42461,24073,0,1090,95.0,ap4,78:8a:20:58:25:74
5,1548780479,5240,-101,45461,26915,0,1922,94.73333333333333,ap4,78:8a:20:58:25:74
6,1548780481,5240,-101,47461,28812,0,1826,94.85,ap4,78:8a:20:58:25:74
7,1548780483,5240,-101,48461,29762,0,797,95.0,ap4,78:8a:20:58:25:74
8,1548780485,5240,-101,27058,17580,0,1628,56.917254590477974,ap4,78:8a:20:58:25:74
9,1548780487,5240,-101,29058,19484,0,1537,95.19999999999999,ap4,78:8a:20:58:25:74
10,1548780489,5240,-101,31058,21392,0,1428,95.39999999999999,ap4,78:8a:20:58:25:74
11,1548780491,5240,-101,33058,23220,0,1251,91.4,ap4,78:8a:20:58:25:74
12,1548780494,5240,-101,35058,25127,0,1215,95.35,ap4,78:8a:20:58:25:74
13,1548780496,5240,-101,37058,27034,0,1135,95.35,ap4,78:8a:20:58:25:74
14,1548780498,5240,-101,40059,29898,0,1968,95.43485504831722,ap4,78:8a:20:58:25:74
15,1548780500,5240,-101,42058,31806,0,1873,95.44772386193097,ap4,78:8a:20:58:25:74
16,1548780502,5240,-101,44059,33715,0,1775,95.40229885057471,ap4,78:8a:20:58:25:74
17,1548780504,5240,-101,46059,35626,0,1676,95.55,ap4,78:8a:20:58:25:74
18,1548780506,5240,-101,48059,37537,0,1573,95.55,ap4,78:8a:20:58:25:74
19,1548780508,5240,-102,25655,20173,0,1316,77.50401713979646,ap4,78:8a:20:58:25:74
20,1548780510,5240,-102,27656,22079,0,1355,95.25237381309346,ap4,78:8a:20:58:25:74
21,1548780513,5240,-102,29656,23986,0,1255,95.35,ap4,78:8a:20:58:25:74
22,1548780515,5240,-102,31656,25890,0,1149,95.19999999999999,ap4,78:8a:20:58:25:74
23,1548780517,5240,-102,33656,27799,0,1062,95.45,ap4,78:8a:20:58:25:74
24,1548780519,5240,-102,36656,30660,0,1882,95.36666666666666,ap4,78:8a:20:58:25:74
25,1548780521,5240,-102,38656,32568,0,1783,95.39999999999999,ap4,78:8a:20:58:25:74
26,1548780523,5240,-102,40656,34477,0,1681,95.45,ap4,78:8a:20:58:25:74
27,1548780525,5240,-102,42656,36386,0,1578,95.45,ap4,78:8a:20:58:25:74
28,1548780527,5240,-102,44656,38293,0,1473,95.35,ap4,78:8a:20:58:25:74
29,1548780529,5240,-102,46656,40204,0,1387,95.55,ap4,78:8a:20:58:25:74
30,1548780532,5240,-102,48656,42111,0,1264,95.35,ap4,78:8a:20:58:25:74
31,1548780534,5240,-102,26253,22887,5,1126,85.80993616926304,ap4,78:8a:20:58:25:74
32,1548780536,5240,-102,28253,24790,0,1042,95.15,ap4,78:8a:20:58:25:74
33,1548780538,5240,-102,31253,27646,0,1857,95.19999999999999,ap4,78:8a:20:58:25:74
34,1548780540,5240,-102,33254,29547,0,1765,95.00249875062468,ap4,78:8a:20:58:25:74
35,1548780542,5240,-102,35254,31451,1,1666,95.19999999999999,ap4,78:8a:20:58:25:74
36,1548780544,5240,-102,37254,33358,0,1584,95.35,ap4,78:8a:20:58:25:74
37,1548780546,5240,-102,39254,35269,0,1503,95.55,ap4,78:8a:20:58:25:74
38,1548780548,5240,-102,41254,37179,0,1402,95.5,ap4,78:8a:20:58:25:74
39,1548780278,5240,-102,43289,35710,0,1135,95.1,ap4,78:8a:20:58:25:74
40,1548780280,5240,-102,46289,38578,0,1991,95.6,ap4,78:8a:20:58:25:74
41,1548780282,5240,-102,48289,40491,0,1876,95.65,ap4,78:8a:20:58:25:74
42,1548780286,5240,-102,27886,23818,0,1682,81.71837474881146,ap4,78:8a:20:58:25:74
43,1548780288,5240,-102,28886,24772,0,645,95.39999999999999,ap4,78:8a:20:58:25:74
44,1548780290,5240,-102,2873,2741,0,1479,84.69226924999039,ap4,78:8a:20:58:25:74
45,1548780292,5240,-102,4873,4654,0,1382,95.65,ap4,78:8a:20:58:25:74
46,1548780294,5240,-102,6873,6563,0,1266,95.45,ap4,78:8a:20:58:25:74
47,1548780297,5240,-102,8873,8476,0,1166,95.65,ap4,78:8a:20:58:25:74
48,1548780299,5240,-102,10873,10306,0,986,91.5,ap4,78:8a:20:58:25:74
49,1548780301,5240,-102,13873,13151,0,1883,94.83333333333334,ap4,78:8a:20:58:25:74
50,1548780303,5240,-102,15874,15052,0,1787,95.00249875062468,ap4,78:8a:20:58:25:74
51,1548780305,5240,-102,17874,16959,0,1689,95.35,ap4,78:8a:20:58:25:74
52,1548780307,5240,-102,19874,18870,0,1605,95.55,ap4,78:8a:20:58:25:74
53,1548780309,5240,-102,21874,20779,0,1510,95.45,ap4,78:8a:20:58:25:74
54,1548780311,5240,-102,23874,22693,0,1403,95.7,ap4,78:8a:20:58:25:74
55,1548780313,5240,-102,25874,24602,0,1302,95.45,ap4,78:8a:20:58:25:74
56,1548780316,5240,-102,27874,26497,0,1187,94.75,ap4,78:8a:20:58:25:74
57,1548780318,5240,-102,29874,28401,0,1097,95.19999999999999,ap4,78:8a:20:58:25:74
58,1548780320,5240,-102,32874,31261,0,1930,95.33333333333334,ap4,78:8a:20:58:25:74
59,1548780322,5240,-102,34874,33173,0,1842,95.6,ap4,78:8a:20:58:25:74
