,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
40,m1,0.0,0.0,10.10.15.248,56184,1548779631.0,1548779629.0,146.004,0.0,0.0,udp,10.10.12.1,5204
41,m1,0.0,0.0,10.10.15.248,56184,1548779633.0,1548779631.0,146.004,0.0,0.0,udp,10.10.12.1,5204
42,m1,394000.0,96000.0,10.10.15.248,56184,1548779635.0,1548779633.0,159.747,4950.0,4962.0,udp,10.10.12.1,5204
43,m1,10800000.0,2590000.0,10.10.15.248,56184,1548779637.0,1548779635.0,1.541,9252.0,9583.0,udp,10.10.12.1,5204
44,m1,20400000.0,4870000.0,10.10.15.248,56184,1548779639.0,1548779637.0,2.354,774.0,1397.0,udp,10.10.12.1,5204
45,m1,53300000.0,12700000.0,10.10.15.248,56184,1548779641.0,1548779639.0,0.245,36.0,1664.0,udp,10.10.12.1,5204
46,m1,47800000.0,11400000.0,10.10.15.248,56184,1548779643.0,1548779641.0,0.993,1.0,1461.0,udp,10.10.12.1,5204
47,m1,46300000.0,11000000.0,10.10.15.248,56184,1548779645.0,1548779643.0,0.914,0.0,1412.0,udp,10.10.12.1,5204
48,m1,49500000.0,11800000.0,10.10.15.248,56184,1548779647.0,1548779645.0,0.437,2.0,1514.0,udp,10.10.12.1,5204
49,m1,47900000.0,11400000.0,10.10.15.248,56184,1548779649.0,1548779647.0,0.313,0.0,1462.0,udp,10.10.12.1,5204
50,m1,47900000.0,11400000.0,10.10.15.248,56184,1548779651.0,1548779649.0,0.77,0.0,1461.0,udp,10.10.12.1,5204
51,m1,42100000.0,10000000.0,10.10.15.248,56184,1548779653.0,1548779651.0,1.298,18.0,1303.0,udp,10.10.12.1,5204
52,m1,38300000.0,9130000.0,10.10.15.248,56184,1548779655.0,1548779653.0,1.654,252.0,1421.0,udp,10.10.12.1,5204
53,m1,19300000.0,4600000.0,10.10.15.248,56184,1548779657.0,1548779655.0,5.223,1382.0,1971.0,udp,10.10.12.1,5204
54,m1,22600000.0,5380000.0,10.10.15.248,56184,1548779659.0,1548779657.0,10.044,928.0,1617.0,udp,10.10.12.1,5204
55,m1,3440000.0,840000.0,10.10.15.248,56184,1548779661.0,1548779659.0,62.997,107.0,212.0,udp,10.10.12.1,5204
56,m1,32800.0,8000.0,10.10.15.248,56184,1548779663.0,1548779661.0,65.742,0.0,1.0,udp,10.10.12.1,5204
57,m1,1840000.0,448000.0,10.10.15.248,56184,1548779665.0,1548779663.0,8.362,4139.0,4195.0,udp,10.10.12.1,5204
58,m1,10100000.0,2400000.0,10.10.15.248,56184,1548779667.0,1548779665.0,9.986,400.0,707.0,udp,10.10.12.1,5204
59,m1,1510000.0,368000.0,10.10.15.248,56184,1548779669.0,1548779667.0,23.447,77.0,123.0,udp,10.10.12.1,5204
60,m1,623000.0,152000.0,10.10.15.248,56184,1548779671.0,1548779669.0,44.926,638.0,657.0,udp,10.10.12.1,5204
61,m1,229000.0,56000.0,10.10.15.248,56184,1548779673.0,1548779671.0,126.69,307.0,314.0,udp,10.10.12.1,5204
62,m1,0.0,0.0,10.10.15.248,56184,1548779675.0,1548779673.0,126.69,0.0,0.0,udp,10.10.12.1,5204
63,m1,0.0,0.0,10.10.15.248,56184,1548779677.0,1548779675.0,126.69,0.0,0.0,udp,10.10.12.1,5204
64,m1,0.0,0.0,10.10.15.248,56184,1548779679.0,1548779677.0,126.69,0.0,0.0,udp,10.10.12.1,5204
65,m1,0.0,0.0,10.10.15.248,56184,1548779681.0,1548779679.0,126.69,0.0,0.0,udp,10.10.12.1,5204
66,m1,0.0,0.0,10.10.15.248,56184,1548779683.0,1548779681.0,126.69,0.0,0.0,udp,10.10.12.1,5204
67,m1,4660000.0,1110000.0,10.10.15.248,56184,1548779685.0,1548779683.0,20.713,12800.0,12942.0,udp,10.10.12.1,5204
68,m1,30100000.0,7170000.0,10.10.15.248,56184,1548779687.0,1548779685.0,0.687,1631.0,2549.0,udp,10.10.12.1,5204
69,m1,47900000.0,11400000.0,10.10.15.248,56184,1548779689.0,1548779687.0,0.545,1.0,1462.0,udp,10.10.12.1,5204
70,m1,47900000.0,11400000.0,10.10.15.248,56184,1548779691.0,1548779689.0,0.321,0.0,1462.0,udp,10.10.12.1,5204
71,m1,47200000.0,11200000.0,10.10.15.248,56184,1548779693.0,1548779691.0,2.307,2.0,1441.0,udp,10.10.12.1,5204
72,m1,46200000.0,11000000.0,10.10.15.248,56184,1548779695.0,1548779693.0,1.742,50.0,1460.0,udp,10.10.12.1,5204
73,m1,48600000.0,11600000.0,10.10.15.248,56184,1548779697.0,1548779695.0,0.849,1.0,1483.0,udp,10.10.12.1,5204
74,m1,33600000.0,8020000.0,10.10.15.248,55057,1548779699.0,1548779697.0,3.703,0.0,1027.0,udp,10.10.12.1,5204
75,m1,13600000.0,3250000.0,10.10.15.248,55057,1548779701.0,1548779699.0,10.646,682.0,1098.0,udp,10.10.12.1,5204
76,m1,1930000.0,472000.0,10.10.15.248,55057,1548779703.0,1548779701.0,34.931,307.0,366.0,udp,10.10.12.1,5204
77,m1,1110000.0,272000.0,10.10.15.248,55057,1548779705.0,1548779703.0,55.568,28.0,62.0,udp,10.10.12.1,5204
78,m1,557000.0,136000.0,10.10.15.248,55057,1548779707.0,1548779705.0,76.934,43.0,60.0,udp,10.10.12.1,5204
79,m1,983000.0,240000.0,10.10.15.248,55057,1548779709.0,1548779707.0,44.16,677.0,707.0,udp,10.10.12.1,5204
80,m1,0.0,0.0,10.10.15.248,55057,1548779711.0,1548779709.0,44.16,0.0,0.0,udp,10.10.12.1,5204
81,m1,32800.0,8000.0,10.10.15.248,55057,1548779713.0,1548779711.0,115.099,2884.0,2885.0,udp,10.10.12.1,5204
82,m1,0.0,0.0,10.10.15.248,55057,1548779715.0,1548779713.0,115.099,0.0,0.0,udp,10.10.12.1,5204
